City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,oktyabrskoye,43.0645,44.7417,71.74,68,0,2.24,RU,1627624712
234,ilinskiy,55.619,38.1182,73.31,78,0,0.0,RU,1627624712
235,itupiranga,-5.1347,-49.3267,79.12,69,7,2.42,BR,1627624713
236,riyadh,24.6877,46.7219,95.14,10,32,5.95,SA,1627624626
237,bayburt,40.2589,40.2278,65.23,61,2,3.36,TR,1627624713
238,dikson,73.5069,80.5464,39.58,97,100,15.7,RU,1627624713
239,strathmore,51.0501,-113.3852,69.93,56,14,8.05,CA,1627624714
240,san patricio,28.017,-97.5169,82.89,76,67,6.15,US,1627624714
241,truth or consequences,33.1284,-107.2528,79.16,43,24,9.86,US,1627624431
242,alofi,-19.0595,-169.9187,71.49,100,72,5.75,NU,1627624714
243,lodja,-3.4833,23.4333,76.95,42,59,1.68,CD,1627624715
244,bara,10.3744,10.7288,72.86,94,97,4.5,NG,1627624715
245,hernani,43.2662,-1.9762,67.46,85,90,1.01,ES,1627624715
246,zapolyarnyy,69.4154,30.8136,49.28,84,100,6.98,RU,1627624716
247,zyryanka,65.75,150.85,51.91,54,96,6.73,RU,1627624716
248,port keats,-14.25,129.55,85.91,55,9,10.96,AU,1627624716
249,rio gallegos,-51.6226,-69.2181,33.85,80,40,10.36,AR,1627624716
250,qaanaaq,77.484,-69.3632,39.83,88,70,7.74,GL,1627624717
251,vostok,46.4856,135.8833,72.39,79,100,2.64,RU,1627624717
252,umm lajj,25.0213,37.2685,88.86,43,58,4.72,SA,1627624717
253,grand gaube,-20.0064,57.6608,74.37,66,64,11.99,MU,1627624717
254,lac-megantic,45.5834,-70.8823,57.22,99,98,2.04,CA,1627624718
255,mount gambier,-37.8333,140.7667,57.11,54,90,18.41,AU,1627624718
256,borogontsy,62.6683,131.1683,74.95,30,20,5.26,RU,1627624718
257,plettenberg bay,-34.0527,23.3716,54.86,64,53,3.67,ZA,1627624719
258,sena madureira,-9.0656,-68.6569,56.73,41,6,3.56,BR,1627624719
259,vanavara,60.34,102.2797,85.66,27,0,6.87,RU,1627624719
260,saint-philippe,-21.3585,55.7679,72.21,79,88,15.39,RE,1627624720
261,tonder,54.9331,8.8667,63.05,83,34,5.01,DK,1627624720
262,iquique,-20.2208,-70.1431,59.04,80,74,1.77,CL,1627624438
263,aksarka,66.5606,67.7975,50.02,96,100,12.1,RU,1627624720
264,dingle,10.9995,122.6711,89.74,61,61,14.97,PH,1627624721
265,goundam,16.4145,-3.6708,86.43,55,88,5.93,ML,1627624721
266,ponta do sol,32.6667,-17.1,70.43,77,11,6.8,PT,1627624721
267,marzuq,14.4,46.4667,78.17,67,98,12.37,YE,1627624722
268,olinda,-8.0089,-34.8553,71.33,88,40,3.44,BR,1627624493
269,karaton,-6.3424,106.1045,87.96,46,11,1.66,ID,1627624722
270,san jose,37.3394,-121.895,75.02,68,40,3.0,US,1627624459
271,hondo,32.45,130.2,93.15,64,69,7.7,JP,1627624722
272,manama,26.2154,50.5832,100.58,30,0,9.22,BH,1627624723
273,ardahan,41.1087,42.7022,63.43,66,22,2.37,TR,1627624723
274,pechory,57.8164,27.6119,60.26,59,86,11.63,RU,1627624723
275,shelburne,44.0787,-80.2041,63.05,83,3,13.78,CA,1627624724
276,itirapina,-22.2528,-47.8228,36.97,40,32,3.91,BR,1627624724
277,gadung,6.8025,124.02,84.16,71,55,5.1,PH,1627624724
278,escanaba,45.7453,-87.0646,61.23,90,1,4.61,US,1627624531
279,moba,33.2288,105.0179,83.7,32,5,4.09,CN,1627624724
280,barinas,8.6226,-70.2075,85.69,94,15,2.3,VE,1627624725
281,eydhafushi,5.1033,73.0708,82.67,71,71,9.17,MV,1627624725
282,souillac,-20.5167,57.5167,74.35,64,75,16.11,MU,1627624725
283,mehamn,71.0357,27.8492,46.31,80,100,5.86,NO,1627624726
284,pecos,31.4229,-103.4932,81.82,44,1,3.44,US,1627624726
285,phulabani,20.4667,84.2333,73.67,93,100,11.03,IN,1627624726
286,mpongwe,-13.5091,28.155,60.55,52,1,9.55,ZM,1627624727
287,ancud,-41.8697,-73.8203,47.73,92,100,14.47,CL,1627624727
288,waipawa,-41.4122,175.5153,54.23,87,1,3.71,NZ,1627624727
